nk,sk,tcg,name,set,sf,ck,mp
commandtower,2013,0.36,Command Tower,Commander 2013,7b2de1d7-0b13-423b-b0ca-31eb38b5b81f,0.79,0.31
springleafdrum,bornofgods,0.36,Springleaf Drum,Born of the Gods,5bc9d645-0220-4a65-bbc7-abc64ded548e,0.99,0.34
plains,throneofeldraine,0.36,Plains,Throne of Eldraine,7ded4b2a-ba56-43da-8ea7-392b77fc2926,0.49,0.19
prizedstatue,legendsbattleforbaldursgate,0.36,Prized Statue,Commander Legends: Battle for Baldur's Gate,58a49829-c354-4823-8cc1-a159fc46c0d7,0.79,0.29
ornithopter,aetherrevolt,0.36,Ornithopter,Aether Revolt,ddb96645-44d2-426c-90cb-3186297a8728,1.29,0.26
keytothecity,2019,0.36,Key to the City,Commander 2019,2da3209b-31f9-4c59-91a2-11a81859e886,0.59,0.2
finalparting,dominaria,0.36,Final Parting,Dominaria,de8803f6-9efa-4323-b8c5-29bdd5a48f9a,0.59,0.39
mindstone,iconicmasters,0.36,Mind Stone,Iconic Masters,c54814f1-3598-4859-b956-b39d8335e6d3,0.99,0.26
springleafdrum,lorwyneclipsed,0.36,Springleaf Drum,Lorwyn Eclipsed,e15ab0aa-4059-4923-9816-6f7a9e5b5a18,0.99,0.15
battlefieldforge,brotherswar,0.36,Battlefield Forge,The Brothers' War,642584bb-7586-4796-9b94-f01ec5bd9e9f,0.79,0.27
island,marchofmachine,0.36,Island,Commander: March of the Machine,560c7de9-0046-4a76-a41a-fa1c3ef92f04,0.49,0.15
sylvanscrying,battleforzendikar,0.37,Sylvan Scrying,Battle for Zendikar,d1b93087-e6a0-4ba9-83ba-a0ed2e396dc7,0.49,0.16
mindstone,2014,0.37,Mind Stone,Commander 2014,b793a8e9-5870-4190-a204-c241b0e67f97,0.99,0.31
divergenttransformations,masters,0.37,Divergent Transformations,Commander Masters,a1cd7456-71dd-463f-98a2-2d6a9cfb7395,0.49,0.26
swamp,ravnicaallegiance,0.37,Swamp,Ravnica Allegiance,308809ad-c150-49b1-83e3-b78494156d7a,0.49,0.3
yavimayacoast,dominariaunited,0.37,Yavimaya Coast,Dominaria United,0ed6c8b0-f154-4678-89d0-9869864ead8d,0.69,0.35
lifecraftengine,aetherdrift,0.37,Lifecraft Engine,Aetherdrift,40c92203-17df-4f10-92c6-ebcc79f01357,0.49,0.15
mindstone,legendsbattleforbaldursgate,0.37,Mind Stone,Commander Legends: Battle for Baldur's Gate,1969ddc0-ee6c-4c3d-a9dd-7f1c491609be,0.79,0.27
unlicensedhearse,streetsofnewcapenna,0.37,Unlicensed Hearse,Streets of New Capenna,93ee60f7-31dd-4bc6-b71f-57a1a0d19d20,1.29,0.17
aqueousform,theros,0.37,Aqueous Form,Theros,ba104245-0483-407f-971b-ad6d8efd9733,0.99,0.35
commandtower,anthology,0.37,Command Tower,Commander Anthology,5f66d99c-7c2d-40b9-ae07-c3a84f018a0d,0.79,0.38
cripplingfear,kaldheim,0.37,Crippling Fear,Kaldheim,7d9bd181-b99f-477e-bcfb-9b78cbf51224,1.29,0.36
exoticorchard,2020,0.37,Exotic Orchard,Commander 2020,f623a2c3-ebe5-4f43-8b87-59b4d6991ff0,0.59,0.15
