,tcgplayer,cardkingdom,manapool,name,set,nk
248708,0.69,,0.29,Stitcher's Supplier,The List Reprints,stitcherssupplier
582671,3.79,4.99,3.13,Submerge,The List Reprints,submerge
583286,0.34,1.49,0.48,Survivors' Encampment,The List Reprints,survivorsencampment
203522,0.35,0.59,0.25,Sylvan Scrying,The List Reprints,sylvanscrying
275367,5.14,3.49,3.4,Talisman of Creativity,The List Reprints,talismanofcreativity
204180,1.27,1.29,0.64,Tandem Lookout,The List Reprints,tandemlookout
275393,,,,Tavern Scoundrel,The List Reprints,tavernscoundrel
204183,4.46,5.49,3.59,Temporal Mastery,The List Reprints,temporalmastery
454187,8.76,8.49,6.0,"Tevesh Szat, Doom of Fools",The List Reprints,teveshszatdoomoffools
513273,28.39,29.99,28.64,The Meathook Massacre,The List Reprints,themeathookmassacre
262949,14.65,,14.73,Thousand-Year Elixir,The List Reprints,thousandyearelixir
203078,4.82,5.49,4.22,Thran Dynamo,The List Reprints,thrandynamo
507595,2.81,2.99,2.2800000000000002,Throat Slitter,The List Reprints,throatslitter
204588,7.57,9.49,7.55,Time Sieve,The List Reprints,timesieve
275372,17.82,23.99,17.740000000000002,Training Center,The List Reprints,trainingcenter
222561,7.71,12.99,8.22,Training Grounds,The List Reprints,traininggrounds
526567,3.49,3.49,2.91,Treasure Vault,The List Reprints,treasurevault
240882,63.38,74.99,61.89,"Urborg, Tomb of Yawgmoth",The List Reprints,urborgtombofyawgmoth
454197,41.88,54.99,41.230000000000004,Urza's Saga,The List Reprints,urzassaga
254575,63.19,59.99,59.96,Vampiric Tutor,The List Reprints,vampirictutor
240883,6.75,6.49,4.68,Veil of Summer,The List Reprints,veilofsummer
222611,4.05,4.49,3.94,Vesuva,The List Reprints,vesuva
583322,0.22,0.49,0.17,Wall of Roots,The List Reprints,wallofroots
204599,3.49,,3.81,Wargate,The List Reprints,wargate
204213,6.64,7.49,5.3500000000000005,Whir of Invention,The List Reprints,whirofinvention
582788,4.92,7.99,5.21,Windfall,The List Reprints,windfall
526569,17.99,11.99,9.370000000000001,Xorn,The List Reprints,xorn
631662,0.41,1.29,0.26,Yavimaya Coast,The List Reprints,yavimayacoast
