productId,name,set,key
689923,Light Up the Stage,Secret Lair Drop Series,light up the stage
493994,"Linvala, Keeper of Silence",Secret Lair Drop Series,linvala keeper of silence
480530,Lotus Cobra,Secret Lair Drop Series,lotus cobra
550272,"Magda, Brazen Outlaw",Secret Lair Drop Series,magda brazen outlaw
578475,Magus of the Moon,Secret Lair Drop Series,magus of the moon
279273,Mana Confluence,Secret Lair Drop Series,mana confluence
242367,Metallic Mimic,Secret Lair Drop Series,metallic mimic
279213,"Mikaeus, the Unhallowed",Secret Lair Drop Series,mikaeus the unhallowed
493988,Muddle the Mixture,Secret Lair Drop Series,muddle the mixture
259211,Mystical Tutor,Secret Lair Drop Series,mystical tutor
662619,Nature's Claim,Secret Lair Drop Series,natures claim
599999,Mystic Remora,Secret Lair Drop Series,mystic remora
221002,Necrotic Ooze,Secret Lair Drop Series,necrotic ooze
691928,Notion Thief,Secret Lair Drop Series,notion thief
514491,Noxious Revival,Secret Lair Drop Series,noxious revival
247890,Ornithopter,Secret Lair Drop Series,ornithopter
237584,Overgrown Tomb,Secret Lair Drop Series,overgrown tomb
480504,Paradise Mantle,Secret Lair Drop Series,paradise mantle
537718,Peregrine Drake,Secret Lair Drop Series,peregrine drake
578473,Phyrexian Metamorph,Secret Lair Drop Series,phyrexian metamorph
214887,Pithing Needle,Secret Lair Drop Series,pithing needle
267881,Praetor's Grasp,Secret Lair Drop Series,praetors grasp
550296,Professional Face-Breaker,Secret Lair Drop Series,professional facebreaker
696856,Prismatic Vista,Secret Lair Drop Series,prismatic vista
283341,Pyretic Ritual,Secret Lair Drop Series,pyretic ritual
537187,Rain of Filth,Secret Lair Drop Series,rain of filth
251783,"Razaketh, the Foulblooded",Secret Lair Drop Series,razaketh the foulblooded
701547,Relic of Legends,Secret Lair Drop Series,relic of legends
701532,Return the Favor,Secret Lair Drop Series,return the favor
273625,"Rograkh, Son of Rohgahh",Secret Lair Drop Series,rograkh son of rohgahh
693223,Roaming Throne,Secret Lair Drop Series,roaming throne
537385,Sakashima of a Thousand Faces,Secret Lair Drop Series,sakashima of a thousand faces
237586,Sacred Foundry,Secret Lair Drop Series,sacred foundry
247353,Sanctum Prelate,Secret Lair Drop Series,sanctum prelate
625940,Saw in Half,Secret Lair Drop Series,saw in half
251799,Seat of the Synod,Secret Lair Drop Series,seat of the synod
456654,Serra Ascendant,Secret Lair Drop Series,serra ascendant
537183,Simian Spirit Guide,Secret Lair Drop Series,simian spirit guide
247356,Sire of Insanity,Secret Lair Drop Series,sire of insanity
273620,"Sisay, Weatherlight Captain",Secret Lair Drop Series,sisay weatherlight captain
617842,Smuggler's Copter,Secret Lair Drop Series,smugglers copter
267839,Snap,Secret Lair Drop Series,snap
456627,Spellseeker,Secret Lair Drop Series,spellseeker
545340,Sphere of Resistance,Secret Lair Drop Series,sphere of resistance
237583,Steam Vents,Secret Lair Drop Series,steam vents
691932,Storm-Kiln Artist,Secret Lair Drop Series,stormkiln artist
565206,Stranglehold,Secret Lair Drop Series,stranglehold
646821,Sylvan Safekeeper,Secret Lair Drop Series,sylvan safekeeper
689838,Talisman of Indulgence,Secret Lair Drop Series,talisman of indulgence
237579,Temple Garden,Secret Lair Drop Series,temple garden
247357,"Teferi, Time Raveler",Secret Lair Drop Series,teferi time raveler
656601,Temporal Trespass,Secret Lair Drop Series,temporal trespass
514518,"Tevesh Szat, Doom of Fools",Secret Lair Drop Series,tevesh szat doom of fools
209997,"Thalia, Guardian of Thraben",Secret Lair Drop Series,thalia guardian of thraben
493980,Thassa's Oracle,Secret Lair Drop Series,thassas oracle
583897,Time Sieve,Secret Lair Drop Series,time sieve
545336,Trinisphere,Secret Lair Drop Series,trinisphere
617983,"Veyran, Voice of Duality",Secret Lair Drop Series,veyran voice of duality
514506,Vial Smasher the Fierce,Secret Lair Drop Series,vial smasher the fierce
537169,"Vilis, Broker of Blood",Secret Lair Drop Series,vilis broker of blood
242361,Wasteland,Secret Lair Drop Series,wasteland
237581,Watery Grave,Secret Lair Drop Series,watery grave
242402,Whir of Invention,Secret Lair Drop Series,whir of invention
656724,Windfall,Secret Lair Drop Series,windfall
695488,Witch Enchanter,Secret Lair Drop Series,witch enchanter
535918,"Yoshimaru, Ever Faithful",Secret Lair Drop Series,yoshimaru ever faithful
625047,Young Wolf,Secret Lair Drop Series,young wolf
580655,Abhorrent Oculus,Prerelease Cards,abhorrent oculus
223242,Agadeem's Awakening,Prerelease Cards,agadeems awakening
514398,Agatha's Soul Cauldron,Prerelease Cards,agathas soul cauldron
554265,"Ajani, Nacatl Pariah",Prerelease Cards,ajani nacatl pariah
481556,All Will Be One,Prerelease Cards,all will be one
146052,Angrath's Marauders,Prerelease Cards,angraths marauders
284231,Anointed Peacekeeper,Prerelease Cards,anointed peacekeeper
237092,Archmage Emeritus,Prerelease Cards,archmage emeritus
274428,Archivist of Oghma,Prerelease Cards,archivist of oghma
223180,Archon of Emeria,Prerelease Cards,archon of emeria
554255,Arena of Glory,Prerelease Cards,arena of glory
241428,Arid Mesa,Prerelease Cards,arid mesa
189512,"Ashiok, Dream Render",Prerelease Cards,ashiok dream render
