card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market,productId
Mirkwood Bats (Borderless),1.65,1.79,0.98,8.484848484848492,-40.60606060606061,2063.0,live,1.53224,-7.136969696969689,$1-2,,498419.0
Swiftfoot Boots,2.99,3.99,2.17,33.44481605351171,-27.424749163879607,2089.0,live,3.4154400000000003,14.22876254180602,$2-5,2.25,591210.0
Jennifer Walters,11.87,17.99,11.42,51.558550968828975,-3.791069924178596,2036.0,live,15.399439999999998,29.7341196293176,$10-20,,696535.0
Fellwar Stone,1.04,1.49,0.78,43.26923076923077,-25.0,2494.0,live,1.27544,22.638461538461524,$1-2,0.84,687597.0
"The Thing, Ben Grimm (Borderless)",0.37,0.35,0.15,-5.405405405405411,-59.45945945945946,2033.0,live,0.2996,-19.02702702702703,$0-1,,696313.0
Tony Stark,6.29,10.99,5.21,74.72178060413354,-17.170111287758345,1855.0,live,9.40744,49.56184419713831,$5-10,,696279.0
Terrasymbiosis,7.36,13.99,7.63,90.08152173913044,3.668478260869559,1794.0,live,11.97544,62.70978260869565,$5-10,7.94,641743.0
Redirect Lightning,12.22,17.99,10.3,47.21767594108018,-15.71194762684124,1839.0,live,15.399439999999998,26.01833060556463,$10-20,10.6,648709.0
Steam Vents,13.87,16.99,10.68,22.494592645998555,-22.999279019466474,2031.0,live,14.54344,4.855371304974762,$10-20,11.79,656711.0
"Human Torch, Johnny Storm (Borderless)",0.31,0.35,0.15,12.903225806451609,-51.61290322580645,2030.0,live,0.2996,-3.354838709677426,$0-1,,696301.0
Emeritus of Conflict,1.4,0.99,0.78,-29.28571428571428,-44.28571428571428,2104.0,live,0.84744,-39.46857142857142,$1-2,,688661.0
Noxious Newt,0.32,0.39,0.15,21.875000000000004,-53.125,4166.0,live,0.33384,4.3250000000000055,$0-1,0.15,689511.0
Stomping Ground,6.66,9.99,6.51,50.0,-2.2522522522522577,1903.0,live,8.55144,28.39999999999999,$5-10,6.6,638913.0
The Ooze,3.31,4.99,3.12,50.75528700906344,-5.740181268882173,1992.0,live,4.27144,29.04652567975831,$2-5,3.99,673656.0
Patchwork Banner,3.49,4.49,1.87,28.653295128939828,-46.41833810888252,1974.0,live,3.84344,10.127220630372491,$2-5,2.0,559478.0
Coruscation Mage,2.01,2.29,1.04,13.930348258706482,-48.25870646766168,2227.0,live,1.96024,-2.475621890547254,$2-5,,559072.0
